record_id,organization_name,site_name,site_type,contact_email,address,city,state,zip_code,full_address,latitude,longitude,geocoded,same_hours_everyday,opening_time,closing_time,full_schedule,days_open,monday_hours,tuesday_hours,wednesday_hours,thursday_hours,friday_hours,saturday_hours,sunday_hours,has_charging,has_pet_services,has_showers,has_storage_for_belongings,has_food,has_internet,services_offered,special_closure_dates,review_status,last_updated,data_source
1,University Park Public Library,University Park Public Library,Respite Center,,8383 Preston Center Plaza,Dallas ,Texas,75225,"8383 Preston Center Plaza, Dallas , Texas 75225",32.864097,-96.803245,True,1.0,09:00,17:00,"Monday, Tuesday, Wednesday, Thursday, Friday: 9:00 am - 5:00 pm","Monday, Tuesday, Wednesday, Thursday, Friday",09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,,,True,True,True,False,False,False,"Charging, Pet services, Showers","2026-05-13, 2026-06-25, 2026-07-03",Accepted,2026-01-11T10:18:56.576602,preseason
2,Vickery Park Branch Library,Vickery Park Branch Library,Respite Center,,8333 Park Ln,Dallas,Texas,75231,"8333 Park Ln, Dallas, Texas 75231",32.871914,-96.761579,True,0.0,,,Monday: 7:00 am - 4:00 pm; Wednesday: 8:00 am - 5:00 pm; Friday: 9:00 am - 6:00 pm,"Monday, Wednesday, Friday",07:00 - 16:00,,08:00 - 17:00,,09:00 - 18:00,,,False,True,False,False,False,False,Pet services,,Accepted,2026-01-11T10:18:56.576602,preseason
3,Lakewood Branch Library,Lakewood Branch Library,Cooling Center,,6121 Worth St ,Dallas,Texas,75214,"6121 Worth St , Dallas, Texas 75214",32.810231,-96.753456,True,1.0,07:00,19:00,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday: 7:00 am - 7:00 pm","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",07:00 - 19:00,07:00 - 19:00,07:00 - 19:00,07:00 - 19:00,07:00 - 19:00,07:00 - 19:00,07:00 - 19:00,True,True,True,True,True,True,"Charging, Pet services, Showers, Storage for belongings, Food, Internet","2026-06-01, 2026-06-02, 2026-06-03, 2026-06-04, 2026-06-05",Accepted,2026-01-11T10:18:56.576602,preseason
4,Oak Lawn Branch Library,Oak Lawn Branch Library,Hydration Station,,4100 Cedar Springs Rd,Dallas,Texas,75219,"4100 Cedar Springs Rd, Dallas, Texas 75219",32.812476,-96.812472,True,0.0,,,Friday: 12:00 pm - 11:59 pm; Saturday: 12:00 pm - 11:59 pm; Sunday: 12:00 pm - 11:59 pm,"Friday, Saturday, Sunday",,,,,12:00 - 23:59,12:00 - 23:59,12:00 - 23:59,False,True,False,True,False,False,"Pet services, Storage for belongings",,Accepted,2026-01-11T10:18:56.576602,preseason
5,Grauwyler Park Branch Library,Grauwyler Park Branch Library,Collection & Donation Site,,2146 Gilford St,Dallas,Texas,75235,"2146 Gilford St, Dallas, Texas 75235",32.83379,-96.8583,True,1.0,00:00,23:59,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday: 12:00 am - 11:59 pm","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",00:00 - 23:59,00:00 - 23:59,00:00 - 23:59,00:00 - 23:59,00:00 - 23:59,00:00 - 23:59,00:00 - 23:59,True,True,True,True,True,True,"Charging, Pet services, Showers, Storage for belongings, Food, Internet",,Accepted,2026-01-11T10:18:56.576602,preseason
6,"Martin Luther King, Jr. Community Center","Martin Luther King, Jr. Community Center",Respite Center,mmcalend@asu.edu,2922 Martin Luther King Jr Blvd,Dallas,Texas,75215,"2922 Martin Luther King Jr Blvd, Dallas, Texas 75215",32.769449,-96.766018,True,1.0,08:30,19:30,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday: 8:30 am - 7:30 pm","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",08:30 - 19:30,08:30 - 19:30,08:30 - 19:30,08:30 - 19:30,08:30 - 19:30,08:30 - 19:30,08:30 - 19:30,True,True,True,True,True,True,"Charging, Pet services, Showers, Storage for belongings, Food, Internet","2026-05-18, 2026-05-19, 2026-05-19, 2026-05-19",Accepted,2026-01-11T10:18:56.576602,preseason
7,Arcadia Recreation Center,Arcadia Recreation Center,Cooling Center,mmcalend@asu.edu,5420 N. Arcadia Dr.,Dallas,Texas,75211,"5420 N. Arcadia Dr., Dallas, Texas 75211",32.744293,-96.915216,True,1.0,09:00,12:00,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday: 9:00 am - 12:00 pm","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",09:00 - 12:00,09:00 - 12:00,09:00 - 12:00,09:00 - 12:00,09:00 - 12:00,09:00 - 12:00,09:00 - 12:00,True,True,True,True,True,True,"Charging, Pet services, Showers, Storage for belongings, Food, Internet","2026-08-10, 2026-08-11, 2026-08-12, 2026-08-13, 2026-08-14",Accepted,2026-01-11T10:18:56.576602,preseason
9,Eloise Lundy Recreation Center,Eloise Lundy Recreation Center,Respite Center,mmcalend@asu.edu,1229 Reverend CBT Smith St,Dallas,Texas,75203,"1229 Reverend CBT Smith St, Dallas, Texas 75203",32.755564,-96.805921,True,1.0,00:00,23:59,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday: 12:00 am - 11:59 pm","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",00:00 - 23:59,00:00 - 23:59,00:00 - 23:59,00:00 - 23:59,00:00 - 23:59,00:00 - 23:59,00:00 - 23:59,True,True,True,True,True,True,"Charging, Pet services, Showers, Storage for belongings, Food, Internet","2025-12-07, 2025-12-08, 2025-12-09, 2025-12-10, 2025-12-11, 2025-12-12, 2025-12-13, 2025-12-14, 2025-12-15, 2025-12-16",Accepted,2026-01-11T10:18:56.588411,in-season update
10,Holmes Aquatic Center,Holmes Aquatic Center,Hydration Station,mmcalend@asu.edu,3501 Lovers Ln,Dallas,Texas,75205,"3501 Lovers Ln, Dallas, Texas 75205",32.850405,-96.792151,True,0.0,,,Monday: 7:00 am - 4:00 pm; Wednesday: 7:00 am - 4:00 pm; Friday: 7:00 am - 4:00 pm; Saturday: 7:00 am - 12:00 pm; Sunday: 7:00 am - 12:00 pm,"Monday, Wednesday, Friday, Saturday, Sunday",07:00 - 16:00,,07:00 - 16:00,,07:00 - 16:00,07:00 - 12:00,07:00 - 12:00,False,False,True,True,False,False,"Showers, Storage for belongings",2025-11-30,Accepted,2026-01-11T10:18:56.576602,preseason
11,Dallas City Hall,City Of Dallas Park and Recreation,Respite Center,mmcalend@asu.edu,1500 Marilla St,Dallas,Texas,75201,"1500 Marilla St, Dallas, Texas 75201",32.776253,-96.797214,True,1.0,09:00,15:00,"Monday, Tuesday, Wednesday: 9:00 am - 3:00 pm","Monday, Tuesday, Wednesday",09:00 - 15:00,09:00 - 15:00,09:00 - 15:00,,,,,False,False,False,False,False,False,"Charging, Storage for belongings, Internet","2026-05-13, 2026-07-05",Accepted,2026-01-11T10:18:56.589596,in-season update
